Propriedade,Atividade,Mês,Data,Descrição
No,Reunião da Equipe,Janeiro,1 de fevereiro de 2026,
No,Início da Revista - 1° Sem,Fevereiro,1 de fevereiro de 2026,
No,Retiro,Fevereiro,14 de fevereiro de 2026 → 17 de fevereiro de 2026,
No,Aulas de Páscoa,"Abril, Março",22 de março de 2026 → 5 de abril de 2026,
No,Café da Manhã com a Equipe,Março,29 de março de 2026,
No,Palestra - Maio Laranja,Maio,16 de maio de 2026,
No,Café da Manhã com a Equipe,Maio,31 de maio de 2026,
No,Encerramento Revista - 1° Sem,Junho,28 de junho de 2026,
No,Aulas de Férias,Julho,5 de julho de 2026 → 26 de julho de 2026,
No,EBF,Julho,25 de julho de 2026,
No,Reunião de Pais,Agosto,2 de agosto de 2026,
No,Início da Revista - 2° Sem,Agosto,2 de agosto de 2026,
No,Reunião de Equipe,Agosto,8 de agosto de 2026,
No,Café da Manhã com a Equipe,Setembro,27 de setembro de 2026,
No,Café da Manhã com a Equipe,Novembro,29 de novembro de 2026,
No,Encerramento Revista - 2° Sem,Novembro,29 de novembro de 2026,
No,Aulas de Advento/Natal,Dezembro,6 de dezembro de 2026 → 27 de dezembro de 2026,