Crianças,Adultos,Descrição das atividades,Horário,Materiais necessários,Obreiro Responsável,Observação,Voluntários
Exposição,Palestra 1,"Louvor, história, atividade

PARTE 1 - A família e os sonhos de José (Gênesis 37)
• Contexto da sua família (Jacó, Raquel, Lia)
• José e os seus irmãos
• José e os seus sonhos",9h30 →11h,,Nicole,Teatro e exposição,"Ana, André, Fernanda e Carol"
Gincana,Palestra 2,"1. Andar no lugar e sem sair do lugar
2. Passar a farinha com a carta na boca
3. Telefone sem fio de mímica ou desenho
4. Fazer torre de copos com fios
5. Meia calça e soprar a vela
6. Teia humana",11h → 12h30,"- Vendas para os olhos
- Farinha
- Cartas
- Copos e fios
- Meia calça 
- Velas",Pang,,"Blenda, Esther, Aline, Michael, Kenji"