Tarefa,O que foi definido,Pessoa responsável,Status
Criar grupo de voluntários,,Nicole,Concluído
Preparação do brinde para os voluntários (21 no total),"Sugestões: 
1. Perdão total - Mauricio Zágari (R$31,60)
2. Perdoar - Timothy Keller (R$ 46,99)
","Nicole, Pang",Concluído
Separar a exposição bíblica,"Em 3 partes, se possível fazer um teatro

PARTE 1 - A família e os sonhos de José (Gênesis 37)
PARTE 2 - José vira governador do Egito (Gênesis 39-41)
PARTE 3 - José reencontra sua família (Gênesis 42-50)",Pang,Concluído
Gincanas,Preparar gincanas para brincar fora e dentro,Pang,Concluído
Sala de Jogos,,Nicole,Concluído
Falar com Roberta sobre lanche,,Nicole,Concluído
Confirmar número de crianças inscritas com Sigrid,"3-4 anos: 4 crianças
5-6 anos: 5 crianças
7-8 anos: 8 crianças
9-10: 4 crianças

Total: 21 crianças
11-14: 6 crianças",Nicole,Concluído
Pauta - Reunião 31/01,"- Decisão de mudança de sala pelas idades
- Voluntários de apoio 3-4 anos (Nicole)
- Proposta de compra de brinde voluntários - juntar com hospitalidade?
- Haverá alguma atividade para as crianças durante a EBD?
- Sugestão de palestrantes para o tema do Maio Laranja","Nicole, Pang",Concluído
Criar formulário para pais - Sugestões de temas para palestras,"Levantamento de temas de interesse dos pais (Levantamento%20de%20temas%20de%20interesse%20dos%20pais%202f71ce8195f3802ea1d1db6ef6bb8ad2.md) ",Nicole,Concluído
Criar PDF com informações sobre o semestre para os pais,"- Material do semestre
- Calendário do ano
- Breve apresentação do Pang
- Palestras ","Nicole, Pang",Em andamento
Pesquisar possibilidades para contação de história de José no Retiro,Teatro de sombras?,"Nicole, Pang",Concluído
Elaborar atividades sobre a história de José,"PARTE 1 - A família e os sonhos de José (Gênesis 37)
• Contexto da sua família (Jacó, Raquel, Lia)
• José e os seus irmãos
• José e os seus sonhos
PARTE 2 - José vira governador do Egito (Gênesis 39-41)
• José na casa de Potifar
• José na prisão
• José interpreta sonho na casa do Faraó
PARTE 3 - José reencontra sua família (Gênesis 42-50)
• Irmãos vão ao Egito
• Benjamin é preso
• Reencontro entre José e Jacó
• Perdão entre os irmãos","Nicole, Pang",Concluído
Script - teatro de sombras,Até sexta (06/02),"Nicole, Pang",Concluído
Lista de materiais para compra (retiro e geral),"Uso geral
- Pastas com plásticos (para armazenamento dos visuais) (4un)
- Canson A4 (3 blocos)
- Papel reciclado 120g (2 pacotes)
- Adesivos de bolinha  (3 cores) ( frequência 3-4 anos)
- Canetão de lousa (preto, azul e vermelho)
- Palitos de picolé

Retiro
- Papel seda 40x68
- Palitos de churrasco
- Guache bastão (2 caixas) 
- Adesivos de estrela (atividade exposição dia 2)","Nicole, Pang",Concluído
Lista de materiais para levar para o retiro,"- Cola quente e refis
- Desenhos para pintar, massinha e alguns jogos
- Lápis de cor, giz de cera, canetinhas, tintas, glitter
- Colas, tesouras infantils
- Tesouras grandes
- Pacote sulfite
- Folhas coloridas, estampadas
- Bexigas
- Crachás
- Papel colorido para teatro (A2)
- Palitos de churrasco
- Plastificadora
- Plásticos
- Fitas
- Adesivos estrela
- Colete ou pulseiras coloridas
- Levar o note do Pang com cabo hdmi
- Bambolês (Se tiver)","Nicole, Pang",Concluído